3  (1,4)
47.75,Bb2  (2,5)
47.75,F3  (2,5)
47.75,Gb1  (9,12)
47.75,Bb3  (9,12)
47.7552083333,E3  (9,12)
47.8333333333,F3  (10,13)
47.875,Bb3  (9,12)
47.9895833333,G3  (6,9)
47.9895833333,C3  (6,9)
47.9895833333,E3  (6,9)
47.9947916667,E4  (7,10)
48,A2  (8,11)
48,G3  (1,4)
48,E3  (1,4)
48,C3  (1,4)
48,A1  (1,4)
48,E3  (2,5)
48,C3  (2,5)
48,A2  (2,5)
48,C1  (9,12)
48,Gb1  (9,12)
48,Bb3  (9,12)
48.0052083333,A0  (0,3)
48.0052083333,E3  (9,12)
48.0833333333,D3  (10,13)
48.125,Bb3  (9,12)
48.25,Bb2  (8,11)
48.25,C3  (2,5)
48.25,E3  (2,5)
48.25,A2  (2,5)
48.25,Gb1  (9,12)
48.25,Bb3  (9,12)
48.375,Bb3  (9,12)
48.5,C3  (8,11)
48.5,D1  (9,12)
48.5,Gb1  (9,12)
48.5,Bb3  (9,12)
48.5026041667,D3  (9,12)
48.625,E3  (2,5)
48.625,C3  (2,5)
48.625,A2  (2,5)
48.625,Bb3  (9,12)
48.75,D3  (8,11)
48.75,Gb1  (9,12)
48.75,Bb3  (9,12)
48.7552083333,A0  (0,3)
48.875,Bb3  (9,12)
48.8802083333,Eb3  (9,12)
49,E3  (8,11)
49,E3  (2,5)
49,C3  (2,5)
49,A2  (2,5)
49,C1  (9,12)
49,Gb1  (9,12)
49,Bb3  (9,12)
49.0052083333,A0  (0,3)
49.0052083333,Eb3  (9,12)
49.125,Bb3  (9,12)
49.1302083333,Eb3  (9,12)
49.25,F3  (8,11)
49.25,C1  (9,12)
49.25,Gb1  (9,12)
49.25,Bb3  (9,12)
49.2552083333,E3  (9,12)
49.375,E3  (2,5)
49.375,C3  (2,5)
49.375,A2  (2,5)
49.375,Bb3  (9,12)
49.5,G3  (8,11)
49.5,C1  (9,12)
49.5,D1  (9,12)
49.5,Bb1  (9,12)
49.5026041667,D3  (9,12)
49.5052083333,Bb3  (9,12)
49.5052083333,Gb2  (9,12)
49.75,A3  (8,11)
49.75,E3  (2,5)
49.75,C3  (2,5)
49.75,A2  (2,5)
49.7552083333,E3  (9,12)
50,D3  (8,11)
50,D2  (1,4)
50,A3  (1,4)
50,D3  (1,4)
50,F3  (1,4)
50,C1  (9,12)
50,Gb1  (9,12)
50,Bb3  (9,12)
50.0052083333,D1  (0,3)
50.125,Bb3  (9,12)
50.25,D3  (2,5)
50.25,A3  (2,5)
50.25,F3  (2,5)
50.25,Gb1  (9,12)
50.25,Bb3  (9,12)
50.375,Bb3  (9,12)
50.5,Gb1  (9,12)
50.5,Bb3  (9,12)
50.5052083333,Db1  (9,12)
50.625,D3  (2,5)
50.625,A3  (2,5)
50.625,F3  (2,5)
50.625,Bb3  (9,12)
50.75,Gb1  (9,12)
50.75,Bb3  (9,12)
50.7552083333,D1  (0,3)
50.7552083333,E3  (9,12)
50.875,C1  (9,12)
50.875,Bb3  (9,12)
51,A3  (2,5)
51,D3  (2,5)
51,F3  (2,5)
51,C1  (9,12)
51,Gb1  (9,12)
51,Bb3  (9,12)
51.0026041667,D3  (9,12)
51.0052083333,D1  (0,3)
51.125,Bb3  (9,12)
51.25,Gb1  (9,12)
51.25,Bb3  (9,12)
51.375,A3  (2,5)
51.375,D3  (2,5)
51.375,F3  (2,5)
51.375,Bb3  (9,12)
51.3802083333,E3  (9,12)
51.5,Gb1  (9,12)
51.5,Bb3  (9,12)
51.5052083333,Db1  (9,12)
51.5052083333,Gb2  (9,12)
51.5052083333,E3  (9,12)
51.625,Bb3  (9,12)
51.75,A3  (2,5)
51.75,D3  (2,5)
51.75,F3  (2,5)
51.75,Gb1  (9,12)
51.75,Bb3  (9,12)
51.875,F3  (2,5)
51.875,D3  (2,5)
51.875,A3  (2,5)
51.875,Bb3  (9,12)
52,D3  (1,4)
52,Bb2  (1,4)
52,F3  (1,4)
52,G1  (1,4)
52,C1  (9,12)
52,Gb1  (9,12)
52,Bb3  (9,12)
52.0052083333,G0  (0,3)
52.125,Bb3  (9,12)
52.25,Bb2  (2,5)
52.25,F3  (2,5)
52.25,D3  (2,5)
52.25,Gb1  (9,12)
52.25,Bb3  (9,12)
52.375,Bb3  (9,12)
52.5,Gb1  (9,12)
52.5,Bb3  (9,12)
52.5052083333,Db1  (9,12)
52.625,F3  (2,5)
52.625,Bb2  (2,5)
52.625,D3  (2,5)
52.625,Bb3  (9,12)
52.75,Gb1  (9,12)
52.75,Bb3  (9,12)
52.7552083333,G0  (0,3)
52.7552083333,E3  (9,12)
52.875,C1  (9,12)
52.875,Bb3  (9,12)
53,F3  (2,5)
53,D3  (2,5)
53,Bb2  (2,5)
53,C1  (9,12)
53,Gb1  (9,12)
53,Bb3  (9,12)
53.0026041667,D3  (9,12)
53.0052083333,G0  (0,3)
53.125,Bb3  (9,12)
53.25,Gb1  (9,12)
53.25,Bb3  (9,12)
53.375,F3  (2,5)
53.375,D3  (2,5)
53.375,Bb2  (2,5)
53.375,Bb3  (9,12)
53.3802083333,E3  (9,12)
53.5,A1  (1,4)
53.5,C1  (9,12)
53.5,Gb1  (9,12)
53.5,Bb3  (9,12)
53.5052083333,A0  (0,3)
53.5052083333,Db1  (9,12)
53.5052083333,Gb2  (9,12)
53.5052083333,E3  (9,12)
53.625,Bb3  (9,12)
53.75,C3  (2,5)
53.75,A2  (2,5)
53.75,F3  (2,5)
53.75,Bb1  (9,12)
53.75,Bb3  (9,12)
53.875,C3  (2,5)
53.875,A2  (2,5)
53.875,F3  (2,5)
53.875,Bb3  (9,12)
54,F3  (1,4)
54,D3  (1,4)
54,Bb1  (1,4)
54,A3  (1,4)
54,C1  (9,12)
54,Gb1  (9,12)
54,Bb3  (9,12)
54.0052083333,Bb0  (0,3)
54.125,Bb3  (9,12)
54.25,Bb2  (2,5)
54.25,F3  (2,5)
54.25,D3  (2,5)
54.25,Gb1  (9,12)
54.25,Bb3  (9,12)
54.375,Bb3  (9,12)
54.5,Gb1  (9,12)
54.5,Bb3  (9,12)
54.5052083333,Db1  (9,12)
54.625,F3  (2,5)
54.625,D3  (2,5)
54.625,Bb2  (2,5)
54.625,Bb3  (9,12)
54.75,Gb1  (9,12)
54.75,Bb3  (9,12)
54.7552083333,Bb0  (0,3)
54.7552083333,E3  (9,12)
54.875,C1  (9,12)
54.875,Bb3  (9,12)
55,F3  (2,5)
55,D3  (2,5)
55,Bb2  (2,5)
55,C1  (9,12)
55,Gb1  (9,12)
55,Bb3  (9,12)
55.0026041667,D3  (9,12)
55.0052083333,Bb0  (0,3)
55.125,Bb3  (9,12)
55.25,Gb1  (9,12)
55.25,Bb3  (9,12)
55.375,Bb2  (2,5)
55.375,F3  (2,5)
55.375,D3  (2,5)
55.375,Bb3  (9,12)
55.3802083333,E3  (9,12)
55.5,Gb1  (9,12)
55.5,Bb3  (9,12)
55.5052083333,Db1  (9,12)
55.5052083333,Gb2  (9,12)
55.5052083333,E3  (9,12)
55.625,Bb3  (9,12)
55.75,F3  (2,5)
55.75,D3  (2,5)
55.75,Bb2  (2,5)
55.75,Gb1  (9,12)
55.75,Bb3  (9,12)
55.875,Bb2  (2,5)
55.875,D3  (2,5)
55.875,F3  (2,5)
55.875,Bb3  (9,12)
56,G3  (1,4)
56,E3  (1,4)
56,C3  (1,4)
56,A1  (1,4)
56,C1  (9,12)
56,Gb1  (9,12)
56,Bb3  (9,12)
56.0052083333,A0  (0,3)
56.125,Bb3  (9,12)
56.25,E3  (2,5)
56.25,A2  (2,5)
56.25,C3  (2,5)
56.25,Gb1  (9,12)
56.25,Bb3  (9,12)
56.375,Bb3  (9,12)
56.5,Gb1  (9,12)
56.5,Bb3  (9,12)
56.5052083333,Db1  (9,12)
56.625,E3  (2,5)
56.625,C3  (2,5)
56.625,A2  (2,5)
56.625,Bb3  (9,12)
56.75,Gb1  (9,12)
56.75,Bb3  (9,12)
56.7552083333,A0  (0,3)
56.7552083333,E3  (9,12)
56.875,C1  (9,12)
56.875,Bb3  (9,12)
57,E3  (2,5)
57,C3  (2,5)
57,A2  (2,5)
57,C1  (9,12)
57,Gb1  (9,12)
57,Bb3  (9,12)
57.0026041667,D3  (9,12)
57.0052083333,A0  (0,3)
57.0052083333,E3  (9,12)
57.125,Bb3  (9,12)
57.25,C1  (9,12)
57.25,Gb1  (9,12)
57.25,Bb3  (9,12)
57.375,E3  (2,5)
57.375,C3  (2,5)
57.375,A2  (2,5)
57.375,Bb3  (9,12)
57.3802083333,E3  (9,12)
57.5,Gb1  (9,12)
57.5,Bb3  (9,12)
57.5052083333,Db1  (9,12)
57.5052083333,Gb2  (9,12)
57.5052083333,E3  (9,12)
57.625,Bb3  (9,12)
57.75,E3  (2,5)
57.75,C3  (2,5)
57.75,A2  (2,5)
57.75,Bb1  (9,12)
57.75,Bb3  (9,12)
57.875,C3  (2,5)
57.875,E3  (2,5)
57.875,A2  (2,5)
57.875,Bb3  (9,12)
58,A3  (1,4)
58,D3  (1,4)
58,F3  (1,4)
58,D2  (1,4)
58,C1  (9,12)
58,Gb1  (9,12)
58,Bb3  (9,12)
58.0052083333,D1  (0,3)
58.125,Bb3  (9,12)
58.25,D3  (2,5)
58.25,A3  (2,5)
58.25,F3  (2,5)
58.25,Gb1  (9,12)
58.25,Bb3  (9,12)
58.375,Bb3  (9,12)
58.5,Gb1  (9,12)
58.5,Bb3  (9,12)
58.5052083333,Db1  (9,12)
58.625,D3  (2,5)
58.625,A3  (2,5)
58.625,F3  (2,5)
58.625,Bb3  (9,12)
58.75,Gb1  (9,12)
58.75,Bb3  (9,12)
58.7552083333,D1  (0,3)
58.7552083333,E3  (9,12)
58.875,C1  (9,12)
58.875,Bb3  (9,12)
59,A3  (2,5)
59,D3  (2,5)
59,F3  (2,5)
59,C1  (9,12)
59,Gb1  (9,12)
59,Bb3  (9,12)
59.0026041667,D3  (9,12)
59.0052083333,D1  (0,3)
59.125,Bb3  (9,12)
59.25,Gb1  (9,12)
59.25,Bb3  (9,12)
59.375,A3  (2,5)
59.375,D3  (2,5)
59.375,F3  (2,5)
59.375,Bb3  (9,12)
59.3802083333,E3  (9,12)
59.5,Gb1  (9,12)
59.5,Bb3  (9,12)
59.5052083333,Db1  (9,12)
59.5052083333,Gb2  (9,12)
59.5052083333,E3  (9,12)
59.625,Bb3  (9,12)
59.75,A3  (2,5)
59.75,D3  (2,5)
59.75,F3  (2,5)
59.75,Gb1  (9,12)
59.75,Bb3  (9,12)
59.875,F3  (2,5)
59.875,D3  (2,5)
59.875,A3  (2,5)
59.875,Bb3  (9,12)
60,Bb2  (1,4)
60,D3  (1,4)
60,G1  (1,4)
60,F3  (1,4)
60,G2  (1,4)
60,C1  (9,12)
60,Gb1  (9,12)
60,Bb3  (9,12)
60.0052083333,G0  (0,3)
60.125,Bb3  (9,12)
60.25,Bb2  (2,5)
60.25,F3  (2,5)
60.25,D3  (2,5)
60.25,Gb1  (9,12)
60.25,Bb3  (9,12)
60.375,Bb3  (9,12)
60.5,Gb1  (9,12)
60.5,Bb3  (9,12)
60.5052083333,Db1  (9,12)
60.625,F3  (2,5)
60.625,Bb2  (2,5)
60.625,D3  (2,5)
60.625,Bb3  (9,12)
60.75,Gb1  (9,12)
60.75,Bb3  (9,12)
60.7552083333,G0  (0,3)
60.7552083333,E3  (9,12)
60.875,C1  (9,12)
60.875,Bb3  (9,12)
61,F3  (2,5)
61,D3  (2,5)
61,Bb2  (2,5)
61,C1  (9,12)
61,Gb1  (9,12)
61,Bb3  (9,12)
61.0026041667,D3  (9,12)
61.0052083333,G0  (0,3)
61.125,Bb3  (9,12)
61.25,Gb1  (9,12)
61.25,Bb3  (9,12)
61.375,F3  (2,5)
61.375,D3  (2,5)
61.375,Bb2  (2,5)
61.375,Bb3  (9,12)
61.3802083333,E3  (9,12)
61.5,A1  (1,4)
61.5,C3  (1,4)
61.5,E3  (1,4)
61.5,A2  (1,4)
61.5,C1  (9,12)
61.5,Gb1  (9,12)
61.5,Bb3  (9,12)
61.5052083333,A0  (0,3)
61.5052083333,Db1  (9,12)
61.5052083333,Gb2  (9,12)
61.5052083333,E3  (9,12)
61.625,Bb3  (9,12)
61.75,C3  (2,5)
61.75,A2  (2,5)
61.75,F3  (2,5)
61.75,Bb1  (9,12)
61.75,Bb3  (9,12)
61.875,C3  (2,5)
61.875,A2  (2,5)
61.875,F3  (2,5)
61.875,Bb3  (9,12)
62,Bb1  (1,4)
62,D3  (1,4)
62,F3  (1,4)
62,Bb2  (1,4)
62,C1  (9,12)
62,Gb1  (9,12)
62,Bb3  (9,12)
62.0052083333,Bb0  (0,3)
62.125,Bb3  (9,12)
62.25,Bb2  (2,5)
62.25,F3  (2,5)
62.25,D3  (2,5)
62.25,Gb1  (9,12)
62.25,Bb3  (9,12)
62.375,Bb3  (9,12)
62.5,Gb1  (9,12)
62.5,Bb3  (9,12)
62.5,Db1  (9,12)
62.625,F3  (2,5)
62.625,D3  (2,5)
62.625,Bb2  (2,5)
62.625,Bb3  (9,12)
62.75,F3  (3,6)
62.75,Gb1  (9,12)
62.75,Bb3  (9,12)
62.7552083333,Bb0  (0,3)
62.7552083333,E3  (9,12)
62.875,C1  (9,12)
62.875,Bb3  (9,12)
63,E3  (3,6)
63,F3  (2,5)
63,D3  (2,5)
63,Bb2  (2,5)
63,C1  (9,12)
63,Gb1  (9,12)
63,Bb3  (9,12)
63.0026041667,D3  (9,12)
63.0052083333,Bb0  (0,3)
63.125,Bb3  (9,12)
63.25,Gb1  (9,12)
63.25,Bb3  (9,12)
63.375,Bb2  (2,5)
63.375,F3  (2,5)
63.375,D3  (2,5)
63.375,Bb3  (9,12)
63.3802083333,E3  (9,12)
63.5,F3  (3,6)
63.5,Gb1  (9,12)
63.5,Bb3  (9,12)
63.5052083333,Db1  (9,12)
63.5052083333,Gb2  (9,12)
63.5052083333,E3  (9,12)
63.625,E3  (3,6)
63.625,Bb3  (9,12)
63.75,Bb2  (3,6)
63.75,F3  (2,5)
63.75,D3  (2,5)
63.75,Bb2  (2,5)
63.75,Gb1  (9,12)
63.75,Bb3  (9,12)
63.875,Bb2  (2,5)
63.875,D3  (2,5)
63.875,F3  (2,5)
63.875,Bb3  (9,12)
64,E3  (1,4)
64,C3  (1,4)
64,G3  (1,4)
64,A1  (1,4)
64,C1  (9,12)
64,Gb1  (9,12)
64,Bb3  (9,12)
64.0052083333,A0  (0,3)
64.125,Bb3  (9,12)
64.25,E3  (2,5)
64.25,A2  (2,5)
64.25,C3  (2,5)
64.25,Gb1  (9,12)
64.25,Bb3  (9,12)
64.375,Bb3  (9,12)
64.5,Gb1  (9,12)
64.5,Bb3  (9,12)
64.5052083333,Db1  (9,12)
64.625,E3  (2,5)
64.625,C3  (2,5)
64.625,A2  (2,5)
64.625,Bb3  (9,12)
64.75,F3  (3,6)
64.75,Gb1  (9,12)
64.75,Bb3  (9,12)
64.7552083333,A0  (0,3)
64.7552083333,E3  (9,12)
64.875,C1  (9,12)
64.875,Bb3  (9,12)
65,E3  (3,6)
65,E3  (2,5)
65,C3  (2,5)
65,A2  (2,5)
65,C1  (9,12)
65,Gb1  (9,12)
65,Bb3  (9,12)
65.0026041667,D3  (9,12)
65.0052083333,A0  (0,3)
65.0052083333,E3  (9,12)
65.125,Bb3  (9,12)
65.25,C1  (9,12)
65.25,D1  (9,12)
65.25,Gb1  (9,12)
65.25,Bb3  (9,12)
65.375,E3  (2,5)
65.375,C3  (2,5)
65.375,A2  (2,5)
65.375,Bb3  (9,12)
65.3802083333,E3  (9,12)
65.5,F3  (3,6)
65.5,D1  (9,12)
65.5,Gb1  (9,12)
65.5,Bb3  (9,12)
65.5052083333,Gb2  (9,12)
65.5052083333,E3  (9,12)
65.625,Bb3  (9,12)
65.625,B1  (9,12)
65.75,G3  (3,6)
65.75,E3  (2,5)
65.75,C3  (2,5)
65.75,A2  (2,5)
65.75,Gb1  (9,12)
65.75,Bb3  (9,12)
65.75,G1  (9,12)
65.875,C3  (2,5)
65.875,E3  (2,5)
65.875,A2  (2,5)
65.875,Bb3  (9,12)
66,D2  (1,4)
66,A3  (1,4)
66,D3  (1,4)
66,F3  (1,4)
66,C1  (9,12)
66,Gb1  (9,12)
66,Bb3  (9,12)
66.0052083333,D1  (0,3)
66.0052083333,Db2  (9,12)
66.0052083333,E3  (9,12)
66.125,Bb3  (9,12)
66.25,A3  (3,6)
66.25,D3  (2,5)
66.25,A3  (2,5)
66.25,F3  (2,5)
66.25,Gb1  (9,12)
66.25,Bb3  (9,12)
66.375,Bb3  (9,12)
66.5,D1  (9,12)
66.5,Gb1  (9,12)
66.5,Bb3  (9,12)
66.5026041667,D3  (9,12)
66.625,D3  (2,5)
66.625,A3  (2,5)
66.625,F3  (2,5)
66.625,Bb3  (9,12)
66.75,D4  (3,6)
66.75,Gb1  (9,12)
66.75,Bb3  (9,12)
66.875,C1  (9,12)
66.875,Bb3  (9,12)
66.8802083333,D1  (0,3)
66.8802083333,Eb3  (9,12)
67,E4  (3,6)
67,A3  (2,5)
67,D3  (2,5)
67,F3  (2,5)
67,C1  (9,12)
67,Gb1  (9,12)
67,Bb3  (9,12)
67.0052083333,D1  (0,3)
67.0052083333,Eb3  (9,12)
67.125,Bb3  (9,12)
67.1302083333,Eb3  (9,12)
67.25,Gb1  (9,12)
67.25,Bb3  (9,12)
67.2552083333,E3  (9,12)
67.375,A3  (2,5)
67.375,D3  (2,5)
67.375,F3  (2,5)
67.375,Bb3  (9,12)
67.5,D2  (1,4)
67.5,D3  (1,4)
67.5,F3  (1,4)
67.5,A3  (1,4)
67.5,F4  (3,6)
67.5,D1  (9,12)
67.5,Gb1  (9,12)
67.5,Bb3  (9,12)
67.5026041667,D3  (9,12)
67.5052083333,Gb2  (9,12)
67.625,Bb3  (9,12)
67.6302083333,D0  (0,3)
67.75,D4  (3,6)
67.75,A3  (2,5)
67.75,D3  (2,5)
67.75,F3  (2,5)
67.75,Gb1  (9,12)
67.75,Bb3  (9,12)
67.7552083333,F0  (0,3)
67.7552083333,E3  (9,12)
67.875,F3  (2,5)
67.875,D3  (2,5)
67.875,A3  (2,5)
67.875,Bb3  (9,12)
67.8802083333,Gb0  (0,3)
68,D3  (1,4)
68,Bb2  (1,4)
68,F3  (1,4)
68,G1  (1,4)
68,C1  (9,12)
68,Gb1  (9,12)
68,Bb3  (9,12)
68.0052083333,G0  (0,3)
68.0052083333,E3  (9,12)
68.125,Bb3  (9,12)
68.25,Bb2  (2,5)
68.25,F3  (2,5)
68.25,D3  (2,5)
68.25,Gb1  (9,12)
68.25,Bb3  (9,12)
68.375,Bb3  (9,12)
68.5,A2  (3,6)
68.5,D1  (9,12)
68.5,Gb1  (9,12)
68.5,Bb3  (9,12)
68.5026041667,D3  (9,12)
68.625,F3  (2,5)
68.625,Bb2  (2,5)
68.625,D3  (2,5)
68.625,Bb3  (9,12)
68.75,C3  (3,6)
68.75,Gb1  (9,12)
68.75,Bb3  (9,12)
68.875,C1  (9,12)
68.875,Bb3  (9,12)
68.8802083333,G0  (0,3)
68.8802083333,Eb3  (9,12)
69,F3  (2,5)
69,D3  (2,5)
69,Bb2  (2,5)
69,C1  (9,12)
69,Gb1  (9,12)
69,Bb3  (9,12)
69.0052083333,G0  (0,3)
69.0052083333,Eb3  (9,12)
69.125,Bb3  (9,12)
69.1302083333,Eb3  (9,12)
69.25,Gb1  (9,12)
69.25,Bb3  (9,12)
69.2552083333,E3  (9,12)
69.375,F3  (2,5)
69.375,D3  (2,5)
69.375,Bb2  (2,5)
69.375,Bb3  (9,12)
69.5,C3  (1,4)
69.5,E3  (1,4)
69.5,A1  (1,4)
69.5,A2  (1,4)
69.5,C1  (9,12)
69.5,D1  (9,12)
69.5,Gb1  (9,12)
69.5,Bb3  (9,12)
69.5026041667,D3  (9,12)
69.5052083333,A0  (0,3)
69.5052083333,Gb2  (9,12)
69.625,Bb3  (9,12)
69.75,C3  (2,5)
69.75,A2  (2,5)
69.75,F3  (2,5)
69.75,Bb1  (9,12)
69.75,Bb3  (9,12)
69.7552083333,E3  (9,12)
69.875,C3  (2,5)
69.875,A2  (2,5)
69.875,F3  (2,5)
69.875,Bb3  (9,12)
70,Bb1  (1,4)
70,F3  (1,4)
70,D3  (1,4)
70,A3  (1,4)
70,C1  (9,12)
70,Gb1  (9,12)
70,Bb3  (9,12)
70.0052083333,Bb0  (0,3)
70.0052083333,E3  (9,12)
70.125,Bb3  (9,12)
70.25,Bb2  (2,5)
70.25,F3  (2,5)
70.25,D3  (2,5)
70.25,Gb1  (9,12)
70.25,Bb3  (9,12)
70.375,Bb3  (9,12)
70.5,D1  (9,12)
70.5,Gb1  (9,12)
70.5,Bb3  (9,12)
70.5026041667,D3  (9,12)
70.625,F3  (2,5)
70.625,D3  (2,5)
70.625,Bb2  (2,5)
70.625,Bb3  (9,12)
70.75,Gb1  (9,12)
70.75,Bb3  (9,12)
70.875,C1  (9,12)
70.875,Bb3  (9,12)
70.8802083333,Bb0  (0,3)
70.8802083333,Eb3  (9,12)
71,F3  (2,5)
71,D3  (2,5)
71,Bb2  (2,5)
71,C1  (9,12)
71,Gb1  (9,12)
71,Bb3  (9,12)
71.0052083333,Bb0  (0,3)
71.0052083333,Eb3  (9,12)
71.125,Bb3  (9,12)
71.1302083333,Eb3  (9,12)
71.25,Gb1  (9,12)
71.25,Bb3  (9,12)
71.2552083333,E3  (9,12)
71.375,Bb2  (2,5)
71.375,F3  (2,5)
71.375,D3  (2,5)
71.375,Bb3  (9,12)
71.5,Bb1  (1,4)
71.5,F3  (1,4)
71.5,A3  (1,4)
71.5,D3  (1,4)
71.5,D1  (9,12)
71.5,Gb1  (9,12)
71.5,Bb3  (9,12)
71.5026041667,D3  (9,12)
71.5052083333,Gb2  (9,12)
71.625,Bb3  (9,12)
71.75,F3  (2,5)
71.75,D3  (2,5)
71.75,Bb2  (2,5)
71.75,Bb1  (9,12)
71.75,Bb3  (9,12)
71.7552083333,E3  (9,12)
71.875,Bb2  (2,5)
71.875,D3  (2,5)
71.875,F3  (2,5)
71.875,Bb3  (9,12)
72,C3  (1,4)
72,E3  (1,4)
72,G3  (1,4)
72,A1  (1,4)
72,C1  (9,12)
72,Gb1  (9,12)
72,Bb3  (9,12)
72.0052083333,A0  (0,3)
72.0052083333,E3  (9,12)
72.125,Bb3  (9,12)
72.25,E3  (2,5)
72.25,A2  (2,5)
72.25,C3  (2,5)
72.25,Gb1  (9,12)
72.25,Bb3  (9,12)
72.375,Bb3  (9,12)
72.5,D1  (9,12)
72.5,Gb1  (9,12)
72.5,Bb3  (9,12)
72.5026041667,D3  (9,12)
72.625,E3  (2,5)
72.625,C3  (2,5)
72.625,A2  (2,5)
72.625,Bb3  (9,12)
72.75,Gb1  (9,12)
72.75,Bb3  (9,12)
72.875,C1  (9,12)
72.875,Bb3  (9,12)
72.8802083333,A0  (0,3)
72.8802083333,Eb3  (9,12)
73,E3  (2,5)
73,C3  (2,5)
73,A2  (2,5)
73,C1  (9,12)
73,Gb1  (9,12)
73,Bb3  (9,12)
73.0052083333,A0  (0,3)
73.0052083333,Eb3  (9,12)
73.125,Bb3  (9,12)
73.1302083333,Eb3  (9,12)
73.25,C1  (9,12)
73.25,Gb1  (9,12)
73.25,Bb3  (9,12)
73.2552083333,E3  (9,12)
73.375,E3  (2,5)
73.375,C3  (2,5)
73.375,A2  (2,5)
73.375,Bb3  (9,12)
73.5,E3  (1,4)
73.5,G3  (1,4)
73.5,C3  (1,4)
73.5,A1  (1,4)
73.5,C1  (9,12)
73.5,D1  (9,12)
73.5,Bb1  (9,12)
73.5,Bb3  (9,12)
73.5026041667,D3  (9,12)
73.5052083333,Gb2  (9,12)
73.625,Bb3  (9,12)
73.75,E3  (2,5)
73.75,C3  (2,5)
73.75,A2  (2,5)
73.75,D1  (9,12)
73.75,Bb3  (9,12)
73.7552083333,E3  (9,12)
73.875,C3  (2,5)
73.875,E3  (2,5)
73.875,A2  (2,5)
73.875,D1  (9,12)
73.875,Bb3  (9,12)
73.9947916667,D4  (7,10)
74,D2  (1,4)
74,D3  (1,4)
74,A3  (1,4)
74,F3  (1,4)
74,C1  (9,12)
74,Gb1  (9,12)
74,Bb3  (9,12)
74.0052083333,D1  (0,3)
74.0052083333,Db2  (9,12)
74.0052083333,E3  (9,12)
74.125,Bb3  (9,12)
74.25,D3  (2,5)
74.25,A3  (2,5)
74.25,F3  (2,5)
74.25,Gb1  (9,12)
74.25,Bb3  (9,12)
74.375,Bb3  (9,12)
74.5,D1  (9,12)
74.5,Gb1  (9,12)
74.5,Bb3  (9,12)
74.5026041667,D3  (9,12)
74.625,D3  (2,5)
74.625,A3  (2,5)
74.625,F3  (2,5)
74.625,Bb3  (9,12)
74.75,Gb1  (9,12)
74.75,Bb3  (9,12)
74.875,C1  (9,12)
74.875,Bb3  (9,12)
74.8802083333,D1  (0,3)
74.8802083333,Eb3  (9,12)
75,A3  (2,5)
75,D3  (2,5)
75,F3  (2,5)
75,C1  (9,12)
75,Gb1  (9,12)
75,Bb3  (9,12)
75.0052083333,D1  (0,3)
75.0052083333,Eb3  (9,12)
75.125,Bb3  (9,12)
75.1302083333,Eb3  (9,12)
75.2447916667,E4  (7,10)
75.25,Gb1  (9,12)
75.25,Bb3  (9,12)
75.2552083333,E3  (9,12)
75.375,Bb3  (9,12)
75.375,A3  (2,5)
75.375,D3  (2,5)
75.375,F3  (2,5)
75.5,D2  (1,4)
75.5,D3  (1,4)
75.5,F3  (1,4)
75.5,A3  (1,4)
75.5,D1  (9,12)
75.5,Gb1  (9,12)
75.5,Bb3  (9,12)
75.5026041667,D3  (9,12)
75.5052083333,Gb2  (9,12)
75.6197916667,F4  (7,10)
75.625,Bb3  (9,12)
75.6302083333,D0  (0,3)
75.75,A3  (2,5)
75.75,D3  (2,5)
75.75,F3  (2,5)
75.75,Gb1  (9,12)
75.75,Bb3  (9,12)
75.7552083333,F0  (0,3)
75.7552083333,E3  (9,12)
75.875,F3  (2,5)
75.875,D3  (2,5)
75.875,A3  (2,5)
75.875,Bb3  (9,12)
75.8802083333,Gb0  (0,3)
75.9947916667,Bb3  (7,10)
76,Bb2  (1,4)
76,F3  (1,4)
76,D3  (1,4)
76,G1  (1,4)
76,C1  (9,12)
76,Gb1  (9,12)
76,Bb3  (9,12)
76.0052083333,G0  (0,3)
76.0052083333,E3  (9,12)
76.125,Bb3  (9,12)
76.25,Bb2  (2,5)
76.25,F3  (2,5)
76.25,D3  (2,5)
76.25,Gb1  (9,12)
76.25,Bb3  (9,12)
76.375,Bb3  (9,12)
76.5,D1  (9,12)
76.5,Gb1  (9,12)
76.5,Bb3  (9,12)
76.5026041667,D3  (9,12)
76.625,F3  (2,5)
76.625,Bb2  (2,5)
76.625,D3  (2,5)
76.625,Bb3  (9,12)
76.75,Gb1  (9,12)
76.75,Bb3  (9,12)
76.875,C1  (9,12)
76.875,Bb3  (9,12)
76.8802083333,G0  (0,3)
76.8802083333,Eb3  (9,12)
77,F3  (2,5)
77,D3  (2,5)
77,Bb2  (2,5)
77,C1  (9,12)
77,Gb1  (9,12)
77,Bb3  (9,12)
77.0052083333,G0  (0,3)
77.0052083333,Eb3  (9,12)
77.125,Bb3  (9,12)
77.1302083333,Eb3  (9,12)
77.25,Gb1  (9,12)
77.25,Bb3  (9,12)
77.2552083333,E3  (9,12)
77.375,Bb3  (9,12)
77.375,F3  (2,5)
77.375,D3  (2,5)
77.375,Bb2  (2,5)
77.4947916667,C4  (7,10)
77.5,C3  (1,4)
77.5,E3  (1,4)
77.5,A1  (1,4)
77.5,A2  (1,4)
77.5,C1  (9,12)
77.5,D1  (9,12)
77.5,Gb1  (9,12)
77.5,Bb3  (9,12)
